        2200
         594         176         598
         704         176         524
         730         524         732
         375         116         889
         818         177         605
         916         464         795
        1065        1022         493
         850          95         867
         565           2         833
         898          22          54
         406          53         820
         820         224         407
         893         276         885
         600         492         814
        1090         337         534
          29         397         813
         337         167         534
         822         436         920
        1039         930         968
           5         630         834
         678         266         241
         156         963         329
         156         329         295
         495         804         112
         435         347          95
         824         290         296
         527         803         687
         133         147          11
         147         598         506
         808         612         825
         228         634         647
         914          67         167
          88         184         122
         798         880         780
         574         661          21
         197         600         681
         630         247         901
         647         634         797
         461         859         642
         910          52        1122
         883          83         103
         883         103         946
        1025         999         361
        1026         568         289
         143         796         879
         651          48         925
         910        1122         411
         910          13         306
         844          59         282
          59         284         282
         931         959          55
         190          82         385
         480         827         910
         872         712         427
        1014         827         735
         500         248         162
         503         252         673
        1043        1003         929
         892         233         779
          91        1002         929
         302          26         778
          86         657         537
         777         898         139
         780         880          33
         412         892         775
         278        1070         488
         160         657          86
         793         325          87
         233         105         185
         111         274        1063
         793         933         325
         422         261         843
         610        1018        1027
         632         725         388
         169         670         934
         505         898           6
         709         787         809
         169          44         670
         878         539         538
        1028         886         342
         770         509         771
         769         899          51
        1028         342         849
         695         415          97
         109          98         928
         527          27         831
        1021         464         675
         237         765         766
         445         379         448
         899         771         523
         605         760         761
         840         758          92
         774         758         840
          80         721         726
         770         688         509
         520          41          31
         784         276         299
         976         752         753
          96         102         428
         750         768         724
           2         386           5
           5         386         630
           2         574          21
         204         535         839
         535         559         839
         810        1063         274
        1126         258         203
           8         645         359
         460         199         745
         400         768         454
         472           8         733
          77         299         744
         126          11         483
         483          11         506
         568        1032        1030
         126         825          11
         538         496         631
         539         639         538
         764         139         898
          47         702         734
          39         842         444
         538         639         496
         213         936         571
         810         384         115
          13         910         936
         935         843         802
         729         584         423
         405         807         759
         694          18         842
          18         648         847
         808         721         938
         900         848         321
         696          34         903
         708         231         528
         937         340         856
         239         340         937
         340         291          25
         340          25         856
         921         253         307
         921         307         301
         846         229         741
         346         191          23
         801         471         118
         884         316         893
         226         368         471
         901          12         413
         421         694         864
          86         298         674
         674         298        1001
         854         799         773
          86         397         298
           6         716         717
         315         150         376
         196         720         725
         227         786         138
         922         265         853
         404         316          19
         709         212         548
         597         616         104
         357         496          25
         958        1015         707
          35         518          84
         798         780         624
